rna_name	chr	strand	start_pos	end_pos	gene_name
NM_001346116	chr1	+	1243959	1247057	PUSL1
NM_153339	chr1	+	1243976	1247057	PUSL1
NM_001256460	chr1	-	1246964	1260067	INTS11
NM_017871	chr1	-	1246979	1260040	INTS11
NM_001029885	chr1	+	1260181	1264276	CPTP
NM_152228	chr1	+	1266659	1270694	TAS1R3
NM_001330311	chr1	-	1270657	1284798	DVL1
NM_001282582	chr1	-	1288068	1298921	MXRA8
NM_001282584	chr1	-	1288068	1294174	MXRA8
NM_001282585	chr1	-	1288068	1293927	MXRA8
NM_001282583	chr1	-	1288070	1297179	MXRA8
NM_032348	chr1	-	1288070	1293935	MXRA8
NM_017900	chr1	-	1309115	1310587	AURKAIP1
NM_001350497	chr1	-	1321090	1333722	CCNL2
NM_001350499	chr1	-	1321090	1334715	CCNL2
NM_001039577	chr1	-	1327667	1334722	CCNL2
NR_015434	chr1	+	1334909	1337426	MRPL20-AS1
NM_017971	chr1	-	1337288	1342673	MRPL20
NM_001145210	chr1	-	1353799	1356824	ANKRD65
NM_001243535	chr1	-	1353799	1356656	ANKRD65
NM_001146685	chr1	+	1361507	1363167	TMEM88B
NR_125994	chr1	-	1365536	1369953	LINC01770
NM_022834	chr1	+	1371069	1378262	VWA1
NM_001039211	chr1	+	1385068	1405542	ATAD3C
NM_031921	chr1	+	1407144	1433228	ATAD3B
NM_001317238	chr1	+	1413228	1433228	ATAD3B
NM_001170535	chr1	+	1447541	1470065	ATAD3A
NM_001170536	chr1	+	1447909	1470067	ATAD3A
NM_001114748	chr1	-	1470157	1476004	TMEM240
NM_014188	chr1	-	1477052	1510243	SSU72
NM_001242659	chr1	-	1533391	1535515	FNDC10
NR_147951	chr1	+	1534812	1542590	LOC105378586
NM_001170688	chr1	+	1550794	1565990	MIB2
NR_033183	chr1	+	1550879	1565985	MIB2
NM_001170689	chr1	+	1551234	1565985	MIB2
NR_146324	chr1	+	1551234	1552702	MIB2
NM_006983	chr1	+	1567551	1570030	MMP23B
NR_002946	chr1	+	1568158	1570027	MMP23A
NM_033490	chr1	-	1570602	1655769	CDK11B
NM_001110781	chr1	-	1592938	1624234	SLC35E2B
NR_002946	chr1	+	1631377	1633247	MMP23A
NM_001313982	chr1	-	1633817	1655796	CDK11A
NM_001199787	chr1	-	1656276	1677438	SLC35E2A
NM_182838	chr1	-	1658823	1677438	SLC35E2A
NM_001198993	chr1	-	1682670	1710255	NADK
NM_001198995	chr1	-	1682670	1690081	NADK
NM_001353641	chr1	-	1682670	1711470	NADK
NM_001353642	chr1	-	1682670	1709909	NADK
NM_001282538	chr1	-	1716723	1822556	GNB1
NM_002074	chr1	-	1716724	1822526	GNB1
NM_001330313	chr1	+	1846698	1848735	CALML6
NM_178545	chr1	-	1849029	1850718	TMEM52
NM_001304360	chr1	-	1853395	1935225	CFAP74
NM_000815	chr1	+	1950783	1962197	GABRD
NR_135509	chr1	-	1980639	1981509	LOC105378591
NM_002744	chr1	+	1981849	2116834	PRKCZ
NM_001033581	chr1	+	2004900	2116838	PRKCZ
NM_001350805	chr1	+	2005424	2116838	PRKCZ
NM_001033582	chr1	+	2036154	2116838	PRKCZ
NR_146290	chr1	-	2113232	2115314	PRKCZ-AS1
NM_001146310	chr1	-	2115898	2139172	FAAP20
NM_001256945	chr1	-	2115898	2126214	FAAP20
NM_001282670	chr1	-	2120987	2144159	FAAP20
NM_182533	chr1	-	2120987	2126211	FAAP20
NR_046427	chr1	-	2120987	2126214	FAAP20
NM_001256946	chr1	-	2123333	2126214	FAAP20
NM_003036	chr1	+	2159757	2241652	SKI
NM_024848	chr1	-	2252691	2322993	MORN1
NR_024489	chr1	-	2281853	2284100	LOC100129534
NM_001301060	chr1	-	2286593	2322993	MORN1
NR_125361	chr1	-	2306292	2322993	MORN1
NM_007033	chr1	+	2323279	2336875	RER1
NM_002617	chr1	-	2336240	2344010	PEX10
NM_001303012	chr1	+	2398889	2436971	PLCH2
NM_014638	chr1	+	2407727	2436971	PLCH2
NM_001303013	chr1	+	2407753	2436969	PLCH2
NM_018216	chr1	-	2439975	2458035	PANK4
NM_001010926	chr1	-	2460183	2461702	HES5
NR_037844	chr1	-	2481358	2488450	TNFRSF14-AS1
NM_003820	chr1	+	2487803	2497061	TNFRSF14
NR_121638	chr1	+	2497973	2515973	LOC100996583
NR_036637	chr1	+	2517961	2522907	PRXL2B
NM_001195736	chr1	+	2518215	2522907	PRXL2B
NM_033467	chr1	-	2522078	2564455	MMEL1
NM_001242672	chr1	-	2572707	2717433	TTC34
NM_080431	chr1	+	2938030	2939467	ACTRT2
NR_015440	chr1	-	2976180	2984289	PRDM16-DT
NR_024371	chr1	-	2980635	2984289	PRDM16-DT
NM_022114	chr1	+	2985766	3355185	PRDM16
NM_014448	chr1	+	3371228	3397677	ARHGEF16
NM_001409	chr1	-	3404514	3528072	MEGF6
NM_182752	chr1	+	3541578	3546691	TPRG1L
NM_017818	chr1	-	3547333	3566667	WRAP73
NM_005427	chr1	+	3569079	3652765	TP73
NM_001204187	chr1	+	3569128	3652765	TP73
NM_001126241	chr1	+	3607235	3652765	TP73
NM_001204192	chr1	+	3614609	3652765	TP73
NR_033711	chr1	-	3652547	3663937	TP73-AS1
NR_033712	chr1	-	3652547	3663335	TP73-AS1
NM_152492	chr1	+	3669013	3688209	CCDC27
NM_001288583	chr1	+	3689324	3692546	SMIM1
NM_001163724	chr1	+	3689350	3692546	SMIM1
NM_020710	chr1	-	3695122	3713062	LRRC47
NM_014704	chr1	-	3728650	3773775	CEP104
NM_001282669	chr1	+	3773830	3801993	DFFB
NR_135150	chr1	+	3774039	3801993	DFFB
NM_207356	chr1	-	3805696	3816836	C1orf174
NR_024455	chr1	+	3816967	3832011	LINC01134
NR_040065	chr1	+	4000671	4012643	LINC01346
NR_147024	chr1	-	4007208	4009040	LINC01345
NR_027088	chr1	+	4472110	4484744	LINC01777
NR_147025	chr1	+	4631546	4643764	LINC01646
NM_001042478	chr1	+	4714668	4837855	AJAP1
NM_018836	chr1	+	4714668	4852582	AJAP1
NR_111987	chr1	-	5922870	6052485	NPHP4
NM_001199861	chr1	+	6052735	6161240	KCNAB2
NM_172130	chr1	+	6086392	6161240	KCNAB2
NM_001199860	chr1	+	6094747	6161240	KCNAB2
NM_001199862	chr1	+	6105947	6161240	KCNAB2
NM_015557	chr1	-	6161846	6240381	CHD5
NM_000983	chr1	-	6245079	6259655	RPL22
NR_125997	chr1	-	6264899	6265840	LOC102724450
NM_207396	chr1	+	6266178	6281359	RNF207
NM_012405	chr1	-	6281252	6296024	ICMT
NR_103534	chr1	+	6296299	6299502	LINC00337
NM_001024598	chr1	+	6304238	6305638	HES3
NM_207370	chr1	-	6307412	6321158	GPR153
NM_007274	chr1	-	6324331	6453826	ACOT7
NM_181864	chr1	-	6324331	6445828	ACOT7
NM_181865	chr1	-	6324331	6420774	ACOT7
NM_181866	chr1	-	6324331	6418989	ACOT7
NM_019089	chr1	-	6475293	6479979	HES2
NM_031475	chr1	+	6484835	6521004	ESPN
NM_003790	chr1	-	6521213	6526255	TNFRSF25
NM_001039664	chr1	-	6524170	6526255	TNFRSF25
NM_001042663	chr1	-	6526151	6557504	PLEKHG5
NM_001042664	chr1	-	6526151	6550640	PLEKHG5
NM_001042665	chr1	-	6526151	6546014	PLEKHG5
NM_001265592	chr1	-	6526151	6557156	PLEKHG5
NM_001265593	chr1	-	6526151	6545529	PLEKHG5
NM_020631	chr1	-	6526151	6551727	PLEKHG5
NM_198681	chr1	-	6526151	6580121	PLEKHG5
NM_024654	chr1	-	6581406	6614573	NOL9
NM_138697	chr1	+	6615366	6639815	TAS1R1
NM_001278648	chr1	+	6640053	6649340	ZBTB48
NM_001324309	chr1	-	6650783	6662929	KLHL21
NM_153812	chr1	+	6673790	6684090	PHF13
NM_001195753	chr1	+	6684924	6693642	THAP3
NM_001195752	chr1	+	6685209	6693642	THAP3
NM_138350	chr1	+	6685209	6695646	THAP3
NM_018198	chr1	-	6694229	6761876	DNAJC11
NR_104620	chr1	+	6784804	6790072	LINC01672
NR_104621	chr1	+	6787586	6790072	LINC01672
NR_149049	chr1	-	6843951	6845040	CAMTA1-DT
NM_001242701	chr1	+	6845383	6948261	CAMTA1
NM_001195563	chr1	+	6845513	6932074	CAMTA1
NM_001349609	chr1	+	6845513	7829766	CAMTA1
NR_146203	chr1	+	6845513	6948261	CAMTA1
NR_146199	chr1	-	7442547	7449814	CAMTA1-AS2
NR_146201	chr1	-	7448242	7449814	CAMTA1-AS2
NM_001349614	chr1	+	7729789	7829766	CAMTA1
NM_001349625	chr1	+	7729803	7829766	CAMTA1
NM_001349617	chr1	+	7729824	7829766	CAMTA1
NM_001349613	chr1	+	7740147	7829766	CAMTA1
NM_001349615	chr1	+	7764795	7829766	CAMTA1
NM_004781	chr1	+	7831355	7841492	VAMP3
NM_016831	chr1	+	7844246	7905237	PER3
NM_001289862	chr1	+	7844488	7905240	PER3
NM_006786	chr1	-	7907671	7913125	UTS2
NM_021995	chr1	-	7907671	7913551	UTS2
NM_001561	chr1	-	7975930	8000899	TNFRSF9
NM_001123377	chr1	+	8021713	8045342	PARK7
NM_007262	chr1	+	8021770	8045565	PARK7
NM_018948	chr1	-	8071786	8086369	ERRFI1
NR_125998	chr1	+	8268731	8275268	LINC01714
NM_001080397	chr1	+	8378173	8404225	SLC45A1
NM_001042682	chr1	-	8412463	8483892	RERE
NM_012102	chr1	-	8412463	8877699	RERE
NR_125999	chr1	+	8484704	8495076	RERE-AS1
NR_132752	chr1	-	8554859	8554973	SNORD128
NM_001428	chr1	-	8921058	8938745	ENO1
NR_038351	chr1	+	8938893	8939943	ENO1-AS1
NM_001215	chr1	+	9005926	9035148	CA6
NM_001270500	chr1	+	9005926	9034503	CA6
NM_207420	chr1	-	9063358	9086404	SLC2A7
NM_001328619	chr1	-	9095164	9132318	SLC2A5
NM_001328621	chr1	-	9095164	9129694	SLC2A5
NM_001135585	chr1	-	9100138	9129694	SLC2A5
NM_024980	chr1	-	9160363	9189161	GPR157
NR_132738	chr1	+	9242262	9252144	LNCTAM34A
NM_004285	chr1	+	9294832	9331394	H6PD
NM_001282587	chr1	+	9299905	9331394	H6PD
NM_025106	chr1	+	9352952	9429590	SPSB1
NR_104622	chr1	-	9485152	9489055	LINC02606
NR_104623	chr1	-	9485152	9488975	LINC02606
NM_032315	chr1	+	9599523	9645231	SLC25A33
NM_001010866	chr1	+	9648968	9665007	TMEM201
NM_001130924	chr1	+	9648968	9674935	TMEM201
NM_005026	chr1	+	9711788	9789172	PIK3CD
NR_027045	chr1	-	9712667	9714644	PIK3CD-AS1
NR_126366	chr1	-	9732483	9747632	PIK3CD-AS2
NR_126368	chr1	-	9740902	9747632	PIK3CD-AS2
NM_001350234	chr1	+	9749601	9789172	PIK3CD
NM_001350235	chr1	+	9751524	9788980	PIK3CD
NM_001009566	chr1	-	9788983	9884023	CLSTN1
NM_014944	chr1	-	9789078	9884584	CLSTN1
NM_020248	chr1	-	9908333	9970327	CTNNBIP1
NM_001316975	chr1	-	9982175	10003449	LZIC
NM_032368	chr1	-	9986350	10003449	LZIC
NM_001297778	chr1	+	10002980	10045556	NMNAT1
NM_001297779	chr1	+	10003532	10041824	NMNAT1
NM_022787	chr1	+	10003532	10045556	NMNAT1
NR_158969	chr1	-	10010629	10020845	TMEM274P
NM_052960	chr1	+	10057285	10076079	RBP7
NM_001105562	chr1	+	10093015	10241296	UBE4B
NM_001365951	chr1	+	10270627	10441658	KIF1B
NM_183416	chr1	+	10270627	10368655	KIF1B
NM_015074	chr1	+	10270763	10441661	KIF1B
NM_001365952	chr1	+	10271673	10441661	KIF1B
NM_001365953	chr1	+	10290821	10368655	KIF1B
NR_004394	chr1	+	10359023	10359128	RNU6-1
NM_001304451	chr1	+	10459120	10480568	PGD
NM_001270517	chr1	+	10490489	10512210	CENPS-CORT
NM_199294	chr1	+	10490489	10502865	CENPS
NR_036462	chr1	+	10490806	10502865	CENPS
NR_037187	chr1	+	10490806	10512210	CENPS-CORT
NM_001302	chr1	+	10510087	10512055	CORT
NM_004401	chr1	-	10516578	10532586	DFFA
NM_213566	chr1	-	10520602	10532586	DFFA
NM_004565	chr1	+	10535006	10690815	PEX14
NM_001079843	chr1	-	10696665	10856703	CASZ1
NM_017766	chr1	-	10707267	10856703	CASZ1
NM_001170754	chr1	-	11006529	11042094	C1orf127
NM_001366227	chr1	-	11006529	11026744	C1orf127
NM_007375	chr1	+	11072678	11085549	TARDBP
NM_006610	chr1	-	11086579	11107296	MASP2
NM_139208	chr1	-	11104854	11107296	MASP2
NM_003132	chr1	-	11114645	11120075	SRM
NM_002685	chr1	-	11126675	11159926	EXOSC10
NR_135061	chr1	+	11159731	11162162	EXOSC10-AS1
NR_135063	chr1	+	11160075	11162162	EXOSC10-AS1
NM_004958	chr1	-	11166591	11322608	MTOR
NR_046600	chr1	+	11203954	11209595	MTOR-AS1
NM_021146	chr1	+	11249411	11256038	ANGPTL7
NM_001330350	chr1	+	11333254	11359628	UBIAD1
NM_013319	chr1	+	11333254	11348491	UBIAD1
NM_020780	chr1	+	11539211	11597608	DISP3
NR_104624	chr1	+	11669587	11673411	LINC01647
NM_012168	chr1	-	11708443	11714486	FBXO2
NM_001304791	chr1	+	11714463	11723384	FBXO44
NR_130909	chr1	+	11714913	11723384	FBXO44
NM_033182	chr1	+	11714933	11723384	FBXO44
NM_018438	chr1	+	11724256	11734409	FBXO6
NM_001127325	chr1	-	11734536	11751678	MAD2L2
NM_006341	chr1	-	11734536	11741205	MAD2L2
NM_198545	chr1	+	11751766	11785914	DRAXIN
NM_001040195	chr1	+	11796141	11810828	AGTRAP
NM_020350	chr1	+	11796192	11810826	AGTRAP
NM_001010881	chr1	+	11822249	11849642	C1orf167
NR_126000	chr1	-	11837133	11839676	C1orf167-AS1
NM_005957	chr1	-	11845780	11866021	MTHFR
NM_001330358	chr1	-	11845786	11863734	MTHFR
NR_046428	chr1	+	11866152	11903201	CLCN6
NM_001286	chr1	+	11866247	11903187	CLCN6
NR_037806	chr1	+	11900375	11907673	NPPA-AS1
NM_006172	chr1	-	11905765	11907840	NPPA
NM_002521	chr1	-	11917520	11919002	NPPB
NR_002754	chr1	+	11968210	11968329	RNU5E-1
NM_138346	chr1	-	11979647	11986484	KIAA2013
NM_000302	chr1	+	11994773	12035594	PLOD1
NM_001127660	chr1	+	12040237	12073572	MFN2
NM_014874	chr1	+	12040500	12073565	MFN2
NM_021933	chr1	+	12079554	12092102	MIIP
NM_001243	chr1	+	12123359	12204264	TNFRSF8
NM_001281430	chr1	+	12123433	12204264	TNFRSF8
NM_001066	chr1	+	12227047	12269277	TNFRSF1B
NM_018156	chr1	+	12290086	12572098	VPS13D
NR_003022	chr1	+	12567299	12567451	SNORA59B
NM_001319225	chr1	-	12627938	12676793	DHRS3
NM_001324370	chr1	-	12627938	12656626	DHRS3
NM_004753	chr1	-	12627938	12678216	DHRS3
NM_001013630	chr1	+	12704565	12727097	AADACL4
NR_111984	chr1	+	12776112	12788727	AADACL3
NM_152290	chr1	+	12806147	12823847	C1orf158
NM_001080830	chr1	+	12834990	12838048	PRAMEF12
NM_023013	chr1	+	12851545	12856777	PRAMEF1
NM_001294139	chr1	+	12854842	12856777	PRAMEF1
NR_146629	chr1	-	12882548	12883086	LINC01784
NM_001146344	chr1	-	12884462	12891264	PRAMEF11
NM_001013631	chr1	-	12907229	12908609	HNRNPCL1
NM_001146181	chr1	-	12907229	12908235	HNRNPCL3
NM_001302551	chr1	-	12907229	12908157	HNRNPCL4
NM_023014	chr1	+	12916940	12921764	PRAMEF2
NM_001009611	chr1	-	12939032	12946025	PRAMEF4
NM_001012277	chr1	+	12976466	12980300	PRAMEF7
NM_001010889	chr1	-	12998301	13007406	PRAMEF6
NM_001300891	chr1	-	12998504	13002353	PRAMEF27
NM_001099850	chr1	+	13035498	13039011	PRAMEF18
NM_001310134	chr1	-	13052239	13112702	PRAMEF25
NM_001306072	chr1	-	13052393	13112702	PRAMEF26
NM_001013407	chr1	-	13108513	13117751	PRAMEF5
NR_111945	chr1	-	13161985	13167193	PRAMEF36P
NM_001136561	chr1	-	13182959	13184326	HNRNPCL2
NR_111945	chr1	+	13194517	13199727	PRAMEF36P
NM_001099850	chr1	-	13328195	13698405	PRAMEF18
NM_001100631	chr1	-	13328832	13477528	PRAMEF22
NM_001013407	chr1	+	13359818	13369057	PRAMEF5
NM_001010889	chr1	+	13359832	13368936	PRAMEF6
NM_001300891	chr1	+	13364885	13368733	PRAMEF27
NM_001012277	chr1	-	13386914	13390748	PRAMEF7
NM_001039361	chr1	+	13409127	13414502	PRAMEF10
NM_001291381	chr1	+	13409134	13414502	PRAMEF33
NM_001098376	chr1	+	13421175	13428193	PRAMEF15
NM_001300891	chr1	+	13424002	13427859	PRAMEF27
NM_001291380	chr1	-	13447413	13452656	PRAMEF13
NM_001099790	chr1	-	13474052	13477569	PRAMEF19
NM_001099851	chr1	+	13495257	13498257	PRAMEF17
NM_001099852	chr1	+	13516065	13526943	PRAMEF20
NM_001012276	chr1	-	13607699	13611533	PRAMEF8
NM_001039361	chr1	+	13629924	13635299	PRAMEF10
NM_001291381	chr1	+	13629931	13635299	PRAMEF33
NM_001098376	chr1	+	13641972	13648990	PRAMEF15
NM_001300891	chr1	+	13644799	13648656	PRAMEF27
NM_001291380	chr1	-	13668268	13673511	PRAMEF13
NM_001099790	chr1	-	13694888	13698405	PRAMEF19
NM_001099851	chr1	+	13716091	13719089	PRAMEF17
NM_001099852	chr1	+	13736906	13747803	PRAMEF20
NM_001010847	chr1	-	13801440	13840498	LRRC38
NM_198389	chr1	+	13910251	13944452	PDPN
NM_001006624	chr1	+	13911954	13944452	PDPN
NM_001135610	chr1	+	14026682	14151574	PRDM2
NM_012231	chr1	+	14031349	14151574	PRDM2
NM_015866	chr1	+	14031349	14114574	PRDM2
NM_001007257	chr1	+	14075909	14114576	PRDM2
NR_149058	chr1	-	14675449	14746469	KAZN-AS1
NM_001370230	chr1	+	14925180	15394651	KAZN
NM_201628	chr1	+	14925180	15444539	KAZN
NM_015209	chr1	+	14925212	15394651	KAZN
NM_001370229	chr1	+	15250624	15394651	KAZN
NM_001370231	chr1	+	15256161	15394651	KAZN
NM_001018001	chr1	+	15256295	15394651	KAZN
NM_001017999	chr1	+	15272414	15394651	KAZN
NR_027136	chr1	-	15438310	15478960	TMEM51-AS1
NM_001136217	chr1	+	15479027	15546974	TMEM51
NM_001136216	chr1	+	15479061	15546974	TMEM51
NM_001136218	chr1	+	15480242	15546974	TMEM51
NM_001278502	chr1	-	15490691	15498120	C1orf195
NM_001278501	chr1	-	15494969	15498120	C1orf195
NM_052929	chr1	+	15573720	15724623	FHAD1
NR_148918	chr1	-	15653175	15670379	FHAD1-AS1
NM_024329	chr1	+	15736383	15756835	EFHD2
NM_007272	chr1	+	15764938	15775737	CTRC
NM_033440	chr1	+	15783226	15798586	CELA2A
NM_015849	chr1	+	15802598	15817889	CELA2B
NM_001229	chr1	-	15817895	15850710	CASP9
NM_032996	chr1	-	15817895	15851285	CASP9
NR_102733	chr1	-	15817895	15850940	CASP9
NM_001287811	chr1	+	15853307	15898228	DNAJC16
NM_015291	chr1	+	15853342	15898228	DNAJC16
NR_135613	chr1	+	15868660	15868799	SCARNA21B
NM_024758	chr1	-	15898193	15911546	AGMAT
NM_032341	chr1	+	15943952	15995539	DDI2
NM_006511	chr1	+	15986207	15988525	RSC1A1
NM_015164	chr1	+	16010814	16061264	PLEKHM2
NM_207348	chr1	+	16062752	16067887	SLC25A34
NR_149050	chr1	-	16066545	16076385	SLC25A34-AS1
NM_001013641	chr1	+	16068993	16074477	TMEM82
NM_001350151	chr1	+	16083132	16113084	FBLIM1
NM_017556	chr1	+	16085289	16113084	FBLIM1
NM_001024215	chr1	+	16090993	16101715	FBLIM1
NM_001089591	chr1	-	16133656	16134194	UQCRHL
NR_024279	chr1	-	16160709	16174642	FLJ37453
NM_015001	chr1	+	16174201	16266951	SPEN
NM_001287603	chr1	-	16268363	16302627	ZBTB17
NM_178840	chr1	+	16330730	16335302	SRARP
NM_001349682	chr1	-	16340522	16346089	HSPB7
NM_001349686	chr1	-	16340522	16345285	HSPB7
NM_004070	chr1	+	16348530	16360545	CLCNKA
NM_000085	chr1	+	16370276	16383803	CLCNKB
NM_001165945	chr1	+	16375256	16383821	CLCNKB
NM_182623	chr1	-	16384263	16400146	FAM131C
NM_004431	chr1	-	16450831	16482564	EPHA2
NM_153213	chr1	-	16524348	16539147	ARHGEF19
NM_030907	chr1	-	16558186	16563678	CPLANE2
NM_018994	chr1	-	16573334	16678975	FBXO42
NR_073500	chr1	+	16693736	16724640	SZRD1
NR_148413	chr1	-	16722175	16763919	SPATA21
NM_001353349	chr1	-	16725137	16763919	SPATA21
NM_001145278	chr1	+	16767166	16786584	NECAP2
NM_018090	chr1	+	16767218	16786573	NECAP2
NR_147210	chr1	+	16787442	16794976	LINC01772
NR_147211	chr1	+	16788301	16794976	LINC01772
NR_023386	chr1	-	16793930	16819196	CROCCP3
NR_004400	chr1	-	16840616	16840780	RNVU1-18
NR_135765	chr1	-	16860336	16863483	LOC440570
NR_135764	chr1	-	16860385	16862147	LINC01783
NM_017940	chr1	-	16888817	16940059	NBPF1
NR_026752	chr1	-	16944750	16957401	CROCCP2
NR_027504	chr1	+	16972068	16976915	MST1P2
NR_004400	chr1	-	16993279	16993443	RNVU1-18
NR_026567	chr1	-	17017712	17046652	ESPNP
NR_004400	chr1	+	17067010	17067174	RNVU1-18
NM_001271733	chr1	-	17081128	17090975	MST1L
NR_135824	chr1	-	17083555	17086552	LOC102724562
NR_135765	chr1	+	17197439	17200587	LOC440570
NR_160657	chr1	+	17198720	17200591	LOC112267871
NR_135056	chr1	-	17215032	17215973	LOC105376805
NR_135058	chr1	-	17215032	17216161	LOC105376805
NR_004400	chr1	+	17222474	17222638	RNVU1-18
NM_014675	chr1	+	17248425	17299455	CROCC
NM_001135247	chr1	-	17300998	17308081	MFAP2
NM_001135248	chr1	-	17300998	17307173	MFAP2
NM_002403	chr1	-	17300998	17307115	MFAP2
NM_001141974	chr1	-	17312452	17338423	ATP13A2
NM_003000	chr1	-	17345220	17380527	SDHB
NM_007365	chr1	-	17393255	17445946	PADI2
NR_148993	chr1	+	17516283	17522882	LINC02783
NM_013358	chr1	+	17531622	17572502	PADI1
NM_016233	chr1	+	17575592	17610727	PADI3
NM_012387	chr1	+	17634691	17690499	PADI4
NM_207421	chr1	+	17698690	17728195	PADI6
NM_001136204	chr1	-	17733255	17765032	RCC2
NM_018715	chr1	-	17733255	17766173	RCC2
NR_137287	chr1	+	17866192	18024364	ARHGEF10L
NM_001011722	chr1	+	17907047	18024370	ARHGEF10L
NM_001319838	chr1	+	17944807	18024370	ARHGEF10L
NM_001328124	chr1	+	17944807	18024364	ARHGEF10L
NM_030812	chr1	+	18081827	18153558	ACTL8
NR_125946	chr1	+	18392150	18400905	LINC01654
NM_032880	chr1	+	18434291	18704977	IGSF21
NM_152375	chr1	+	18807423	18812480	KLHDC7A
NM_001135254	chr1	+	18957339	19075360	PAX7
NM_013945	chr1	+	18957339	19062632	PAX7
NM_152232	chr1	-	19166092	19186155	TAS1R2
NM_001161504	chr1	-	19197923	19217385	ALDH4A1
NM_001319218	chr1	-	19197923	19229293	ALDH4A1
NM_003748	chr1	-	19197923	19229049	ALDH4A1
NM_001136265	chr1	-	19230773	19283170	IFFO2
NM_020765	chr1	-	19401005	19536760	UBR4
NR_135114	chr1	+	19536879	19567198	EMC1-AS1
NR_135115	chr1	+	19536879	19556657	EMC1-AS1
NM_001271428	chr1	-	19542154	19578018	EMC1
NM_016183	chr1	+	19578298	19586622	MRTO4
NR_040288	chr1	-	19592475	19600616	AKR7L
NM_012067	chr1	-	19609066	19615264	AKR7A3
NR_037847	chr1	-	19619740	19622230	LOC100506730
NM_003689	chr1	-	19629201	19638640	AKR7A2
NM_001287531	chr1	+	19638819	19655794	SLC66A1
NR_109848	chr1	+	19638819	19658922	SLC66A1
NM_001206540	chr1	-	19665268	19812033	CAPZB
NM_001282162	chr1	-	19665268	19810789	CAPZB
NM_001313932	chr1	-	19700668	19812033	CAPZB
NR_135054	chr1	-	19918295	19923326	LOC105378614
NM_001204082	chr1	+	19923470	19956315	MICOS10
NM_001204088	chr1	+	19923472	19984945	MICOS10-NBL1
NR_033757	chr1	+	19923472	19956314	MICOS10
NR_077246	chr1	+	19934300	19935138	RPS14P3
NM_182744	chr1	+	19969722	19984949	NBL1
NM_001278165	chr1	+	19969902	19984949	NBL1
NM_001204084	chr1	+	19970207	19984949	NBL1
NM_005380	chr1	+	19970804	19984945	NBL1
NM_001204085	chr1	+	19971865	19984949	NBL1
NM_001204086	chr1	+	19972259	19984949	NBL1
NM_001278166	chr1	+	19974103	19984949	NBL1
NM_000871	chr1	+	19991367	20007459	HTR6
NM_001349114	chr1	-	20008705	20126409	TMCO4
NM_001349115	chr1	-	20069811	20125842	TMCO4
NM_019062	chr1	-	20140521	20141776	RNF186
NM_015207	chr1	+	20208887	20239437	OTUD3
NM_014589	chr1	-	20246501	20250110	PLA2G2E
NM_001161729	chr1	-	20301923	20306152	PLA2G2A
NM_001161727	chr1	-	20301927	20306927	PLA2G2A
NM_000929	chr1	+	20396686	20418404	PLA2G5
NM_012400	chr1	-	20438433	20446029	PLA2G2D
